public_site_id,internal_trace_id,chainage_km,lateral_offset_km,latitude,longitude,address,fcc_site_type,physical_form,operator_evidence,latest_official_evidence,official_evidence_summary,official_source_url,google_maps_url,street_view_url,visual_review_result,local_photo,inclusion_decision,antenna_height_ft,antenna_height_m,height_basis
BS01,C01,1.670,0.131,37.7646550,-122.3945410,"135 Mississippi Street / SF53450A, San Francisco",Macro_Building,rooftop macro,T-Mobile,2010 primary; 2021 secondary,Official notification documents the rooftop T-Mobile site; a 2021 permit-index entry corroborates a modification.,https://sfbos.org/ftp/uploadedfiles/bdsupvrs/communications/2010/100602.pdf,"https://www.google.com/maps?q=37.7646550,-122.3945410","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.7646550,-122.3945410",Officially documented; clear site photograph not retained,,included in final 18-site physical macro layer,50,15.240,assumed: Macro_Building default
BS02,G01,4.450,1.040,37.7392900,-122.3827400,"1135 Evans Avenue, San Francisco",Macro_Tower,lattice-tower macro site,T-Mobile + Verizon documented historically,2015; post-2020 legal corroboration,SF Planning documents carrier antennas at the PG&E lattice-tower site; later legal activity corroborates T-Mobile installation. User reviewed multiple viewpoints and confirms the six visible panels are a macro base station; apparent support mismatch is treated as perspective/geolocation uncertainty.,https://commissions.sfplanning.org/cpcpackets/2014.1393C.pdf,"https://www.google.com/maps?q=37.7392900,-122.3827400","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.7392900,-122.3827400",User-confirmed macro antenna panels,03_site_evidence/BS02/street_or_site_view.png,included in final 18-site physical macro layer,60,18.288,assumed: unresolved Macro_Tower default
BS03,C02,5.775,0.080,37.7283604,-122.3952219,"SF Planning site SF03458, San Francisco",Macro_Building,rooftop macro,T-Mobile,2021,"Carrier-supplied San Francisco inventory reports a roof BTS, six antennas and 77.3-ft top elevation.",https://data.sfgov.org/Geographic-Locations-and-Boundaries/Existing-Commercial-Wireless-Telecommunication-Ser/aa26-h926,"https://www.google.com/maps?q=37.7283604,-122.3952219","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.7283604,-122.3952219",Possible rooftop structure; official record is inclusion basis,03_site_evidence/BS03/street_or_site_view.png,included in final 18-site physical macro layer,77.3,23.561,official site-record top-elevation proxy
BS04,C03,16.402,0.863,37.6415806,-122.4229222,"470 Noor Avenue, South San Francisco",Macro_Tower,tree monopole,T-Mobile,2010,"Official record specifies exact coordinates, a 50-ft tree-form monopole and eight panel antennas.",https://sfgov.legistar.com/View.ashx?GUID=0FE2F682-82B6-4184-9003-4C7885A9AF6C&ID=3726986&M=F,"https://www.google.com/maps?q=37.6415806,-122.4229222","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.6415806,-122.4229222",User-confirmed faux-tree monopole,03_site_evidence/BS04/street_or_site_view.jpg,included in final 18-site physical macro layer,50,15.240,official: 50-ft tree-form monopole
BS05,C04,25.817,0.515,37.5770197,-122.3499401,"1480 Burlingame Avenue, Burlingame",Macro_Building,rooftop macro,T-Mobile,2024,Official notice describes alteration of an existing rooftop T-Mobile facility.,https://burlingame.org/DocumentCenter/View/5865/1480-Burlingame-Ave---AUP-Notice-PDF,"https://www.google.com/maps?q=37.5770197,-122.3499401","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.5770197,-122.3499401",User-identified likely rooftop mount; official record is inclusion basis,03_site_evidence/BS05/street_or_site_view.png,included in final 18-site physical macro layer,50,15.240,assumed: Macro_Building default
BS06,C05,32.782,4.255,37.5118723,-122.3331081,"20 Tower Road Communication Facility, San Mateo County",Macro_Other,communications complex / water-tower support,T-Mobile; Verizon separate facilities,2022,County records authorize continued T-Mobile and Verizon facilities; Verizon uses ground space and space on a 56-ft 1-in water tower.,https://sanmateocounty.legistar.com/LegislationDetail.aspx?G=1088EC25-A43A-408F-A57C-73C0A70269AB&GUID=AB15B50D-1036-4B84-8E42-3B2D967BDB3E&ID=5370320&Options=&Search=,"https://www.google.com/maps?q=37.5118723,-122.3331081","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.5118723,-122.3331081",Official record confirmed; support not resolved in street imagery,,included in final 18-site physical macro layer,56.083,17.094,official: 56-ft 1-in water-tower support
BS07,N04,34.698,0.982,37.5301300,-122.2715500,"550 Island Parkway, Belmont",Macro_Tower,freestanding 50-ft monopole,operator unresolved,official page; year unresolved,Belmont official facility record documents the physical monopole.,https://www.belmont.gov/Home/Components/FacilityDirectory/FacilityDirectory/38/333,"https://www.google.com/maps?q=37.5301300,-122.2715500","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.5301300,-122.2715500",User-confirmed freestanding monopole,03_site_evidence/BS07/street_or_site_view.png,included in final 18-site physical macro layer,50,15.240,official: 50-ft freestanding monopole
BS08,N02,35.372,0.171,37.5186748,-122.2757877,"1100 El Camino Real, Belmont",Macro_Building,concealed clock-tower building macro,T-Mobile,official page; year unresolved,Belmont official facility record documents the concealed wireless facility.,https://www.belmont.gov/Home/Components/FacilityDirectory/FacilityDirectory/32/,"https://www.google.com/maps?q=37.5186748,-122.2757877","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.5186748,-122.2757877",Support structure confirmed; antennas concealed,03_site_evidence/BS08/street_or_site_view.png,included in final 18-site physical macro layer,50,15.240,assumed: concealed Macro_Building default
BS09,C06,39.545,1.903,37.4793817,-122.2558587,"2900 Whipple Avenue, Redwood City",Macro_Building,rooftop macro,T-Mobile,2026,Issued permit modifies an existing rooftop T-Mobile facility.,https://www.redwoodcity.org/home/showpublisheddocument/30885/639056288951270000,"https://www.google.com/maps?q=37.4793817,-122.2558587","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.4793817,-122.2558587",User-confirmed rooftop panel group,03_site_evidence/BS09/street_or_site_view.png,included in final 18-site physical macro layer,50,15.240,assumed: Macro_Building default
BS10,C07,47.750,3.854,37.4723890,-122.1401210,"2415 University Avenue, East Palo Alto",Macro_Building,building macro,T-Mobile,2023,County record authorizes continued operation and upgrading.,https://sanmateocounty.legistar.com/LegislationDetail.aspx?G=1088EC25-A43A-408F-A57C-73C0A70269AB&GUID=5D843893-D94B-4F2D-95C7-05F489E84100&ID=6005125&Options=&Search=,"https://www.google.com/maps?q=37.4723890,-122.1401210","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.4723890,-122.1401210",User-identified probable rooftop panel group; official record is inclusion basis,03_site_evidence/BS10/street_or_site_view.png,included in final 18-site physical macro layer,50,15.240,assumed: Macro_Building default
