public_site_id,internal_trace_id,chainage_km,lateral_offset_km,latitude,longitude,address,fcc_site_type,physical_form,operator_evidence,latest_official_evidence,official_evidence_summary,official_source_url,google_maps_url,street_view_url,visual_review_result,local_photo,inclusion_decision,antenna_height_ft,antenna_height_m,height_basis,source_chainage_km,source_lateral_offset_km
BS05,C04,4.091,0.515,37.5770197,-122.3499401,"1480 Burlingame Avenue, Burlingame",Macro_Building,rooftop macro,T-Mobile,2024,Official notice describes alteration of an existing rooftop T-Mobile facility.,https://burlingame.org/DocumentCenter/View/5865/1480-Burlingame-Ave---AUP-Notice-PDF,"https://www.google.com/maps?q=37.5770197,-122.3499401","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.5770197,-122.3499401",User-identified likely rooftop mount; official record is inclusion basis,03_site_evidence/BS05/street_or_site_view.png,included in final 18-site physical macro layer,50,15.240,assumed: Macro_Building default,25.817,0.515
BS06,C05,11.056,4.255,37.5118723,-122.3331081,"20 Tower Road Communication Facility, San Mateo County",Macro_Other,communications complex / water-tower support,T-Mobile; Verizon separate facilities,2022,County records authorize continued T-Mobile and Verizon facilities; Verizon uses ground space and space on a 56-ft 1-in water tower.,https://sanmateocounty.legistar.com/LegislationDetail.aspx?G=1088EC25-A43A-408F-A57C-73C0A70269AB&GUID=AB15B50D-1036-4B84-8E42-3B2D967BDB3E&ID=5370320&Options=&Search=,"https://www.google.com/maps?q=37.5118723,-122.3331081","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.5118723,-122.3331081",Official record confirmed; support not resolved in street imagery,,included in final 18-site physical macro layer,56.083,17.094,official: 56-ft 1-in water-tower support,32.782,4.255
BS07,N04,12.972,0.982,37.5301300,-122.2715500,"550 Island Parkway, Belmont",Macro_Tower,freestanding 50-ft monopole,operator unresolved,official page; year unresolved,Belmont official facility record documents the physical monopole.,https://www.belmont.gov/Home/Components/FacilityDirectory/FacilityDirectory/38/333,"https://www.google.com/maps?q=37.5301300,-122.2715500","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.5301300,-122.2715500",User-confirmed freestanding monopole,03_site_evidence/BS07/street_or_site_view.png,included in final 18-site physical macro layer,50,15.240,official: 50-ft freestanding monopole,34.698,0.982
BS08,N02,13.645,0.171,37.5186748,-122.2757877,"1100 El Camino Real, Belmont",Macro_Building,concealed clock-tower building macro,T-Mobile,official page; year unresolved,Belmont official facility record documents the concealed wireless facility.,https://www.belmont.gov/Home/Components/FacilityDirectory/FacilityDirectory/32/,"https://www.google.com/maps?q=37.5186748,-122.2757877","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.5186748,-122.2757877",Support structure confirmed; antennas concealed,03_site_evidence/BS08/street_or_site_view.png,included in final 18-site physical macro layer,50,15.240,assumed: concealed Macro_Building default,35.372,0.171
BS09,C06,17.819,1.903,37.4793817,-122.2558587,"2900 Whipple Avenue, Redwood City",Macro_Building,rooftop macro,T-Mobile,2026,Issued permit modifies an existing rooftop T-Mobile facility.,https://www.redwoodcity.org/home/showpublisheddocument/30885/639056288951270000,"https://www.google.com/maps?q=37.4793817,-122.2558587","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.4793817,-122.2558587",User-confirmed rooftop panel group,03_site_evidence/BS09/street_or_site_view.png,included in final 18-site physical macro layer,50,15.240,assumed: Macro_Building default,39.545,1.903
BS10,C07,26.023,3.854,37.4723890,-122.1401210,"2415 University Avenue, East Palo Alto",Macro_Building,building macro,T-Mobile,2023,County record authorizes continued operation and upgrading.,https://sanmateocounty.legistar.com/LegislationDetail.aspx?G=1088EC25-A43A-408F-A57C-73C0A70269AB&GUID=5D843893-D94B-4F2D-95C7-05F489E84100&ID=6005125&Options=&Search=,"https://www.google.com/maps?q=37.4723890,-122.1401210","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.4723890,-122.1401210",User-identified probable rooftop panel group; official record is inclusion basis,03_site_evidence/BS10/street_or_site_view.png,included in final 18-site physical macro layer,50,15.240,assumed: Macro_Building default,47.750,3.854
BS11,G02,28.583,2.872,37.4524726,-122.1263005,"2047 East Bayshore Road, Palo Alto",Macro_Tower,ground-supported macro tower,Dish applicant; other tenancy unresolved,2023,Palo Alto application 23PLN-00132 documents modification/collocation at an existing wireless tower with tower-mounted and ground equipment.,https://www.paloalto.gov/Departments/Planning-Development-Services/Current-Planning/Projects/2047-E-Bayshore-Road,"https://www.google.com/maps?q=37.4524726,-122.1263005","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.4524726,-122.1263005",User-confirmed ground tower and antenna array,03_site_evidence/BS11/street_or_site_view.png,included in final 18-site physical macro layer,60,18.288,assumed: unresolved Macro_Tower default,50.310,2.870
BS12,C08,29.701,2.668,37.4450100,-122.1181295,"2666 East Bayshore Road, Palo Alto",Macro_Building,building macro,T-Mobile,2022,Official project page describes modification of an existing T-Mobile wireless facility.,https://www.paloalto.gov/News-Articles/Planning-and-Development-Services/2666-East-Bayshore-Road-WCF,"https://www.google.com/maps?q=37.4450100,-122.1181295","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.4450100,-122.1181295",Possible shroud/array; official record is inclusion basis,03_site_evidence/BS12/street_or_site_view.png,included in final 18-site physical macro layer,50,15.240,assumed: Macro_Building default,51.428,2.668
BS13,S01,39.265,1.862,37.3984716,-122.0357438,"787 N Mary Avenue, Sunnyvale",Macro_Tower,54-ft mono-eucalyptus,Verizon,2015,Official approval documents a 54-ft Verizon mono-eucalyptus.,https://sunnyvaleca.legistar.com/LegislationDetail.aspx?FullText=1&GUID=FFA3134D-9CE2-454D-9B02-7C76A4375DAD&ID=2287228&Options=&Search=,"https://www.google.com/maps?q=37.3984716,-122.0357438","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.3984716,-122.0357438",User-confirmed faux-eucalyptus tower,03_site_evidence/BS13/street_or_site_view.png,included in final 18-site physical macro layer,54,16.459,official: 54-ft mono-eucalyptus,60.986,1.865
BS14,C09,39.632,2.336,37.4011890,-122.0300144,"919 Hamlin Court, Sunnyvale",Macro_Tower,67-ft tree monopole,T-Mobile + AT&T,2022,City staff report identifies a 67-ft tree monopole with active T-Mobile and AT&T facilities.,https://sunnyvaleca.legistar.com/LegislationDetail.aspx?FullText=1&GUID=BF745A5F-3F08-42CB-ABD3-CA251D22A455&ID=5848953,"https://www.google.com/maps?q=37.4011890,-122.0300144","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.4011890,-122.0300144",User-confirmed tree monopole,03_site_evidence/BS14/street_or_site_view.png,included in final 18-site physical macro layer,67,20.422,official: 67-ft tree monopole,61.358,2.336
BS15,C10,43.259,1.529,37.3845367,-121.9978650,"1070 Stewart Drive, Sunnyvale",Macro_Tower,71-ft monopole,AT&T + T-Mobile + Verizon,2024,"Official report states that AT&T, T-Mobile and Verizon maintain active facilities on the tower.",https://sunnyvaleca.legistar.com/ViewReport.ashx?G=FA76FAAA-7A74-41EA-9143-F2DB1947F9A5&GID=270&GUID=26529095-DE72-41E1-9B5B-07EA2BFAAC77&ID=5670019&M=R&N=Text&Title=Agenda+Item-No+Attachments+%28PDF%29,"https://www.google.com/maps?q=37.3845367,-121.9978650","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.3845367,-121.9978650",Official record confirmed; no accepted site photograph,,included in final 18-site physical macro layer,71,21.641,official: 71-ft monopole,64.983,1.532
BS16,C11,49.543,2.152,37.3338060,-121.9354170,"1939 El Dorado Avenue / adjacent Caltrans parcel, San Jose",Macro_Tower,60-ft slimline monopole,AT&T corroborated,2018,Official record approves replacement by a 60-ft slimline monopole.,https://www.sanjoseca.gov/home/showpublisheddocument/43017/637079581006830000,"https://www.google.com/maps?q=37.3338060,-121.9354170","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.3338060,-121.9354170","User-confirmed pole, antenna array and equipment enclosure",03_site_evidence/BS16/street_or_site_view.png,included in final 18-site physical macro layer,60,18.288,official: 60-ft slimline monopole,72.483,1.786
